isolate,oil,reps,mean,Std_dev,Median,Min,Max,mode,geo_mean,farm,ST,CC,cODtreated,Biofilmcattreated,Biofilmtreated,cODuntreated,Biofilmcatuntreated,Biofilmuntreated,WGS,biofilmtxstudy,DDzoneDia,PPGMIC,Ddcat,MICcat,logGeoMean
03-09,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,3,3021,97,0.1551,2,1,0.1874,2,1,no,no,38,0.125,S,S,-2
08-01,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,8,3021,97,0.0181,1,0,0.0203,1,0,no,no,40,0.125,S,S,-2
13-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,13,3028,97,0.0187,1,0,0.118,2,1,yes,yes,38,0.125,S,S,-2
14-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,14,3028,97,0.03,1,0,0.0668,1,0,yes,no,40,0.125,S,S,-2
25-08,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,25,3028,97,0.047,1,0,0.0529,1,0,no,no,43,0.125,S,S,-2
28-03,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,28,3028,97,0.0673,1,0,0.2352,3,1,no,yes,34,0.125,S,S,-2
38-02,thyme,1,0.5,,0.5,0.5,0.5,0.5,0.5000,38,3028,97,0.0744,1,0,0.1426,2,1,no,yes,38,0.125,S,S,-1
40-02,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,40,3028,97,0.0366,1,0,0.0519,1,0,no,no,39,0.125,s,S,-2
07-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,7,151,151,0.1001,2,0,0.063,1,0,no,no,40,0.125,S,S,-2
10-09,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,10,151,151,0.036,1,0,0.068,1,0,no,no,46,0.125,S,S,-2
17-30,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,17,151,151,0.02,1,0,0.0521,1,0,no,no,46,0.125,S,S,-2
34-02,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,34,151,151,0.0267,1,0,0.142,2,1,no,no,44,0.125,S,s,-2
19-06,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,19,705,151,0.011,1,0,0.0274,1,0,no,no,48,0.125,S,S,-2
